tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,residual_gain,trajectory_csv,metrics_json,residual_surrogate
moderate,7,62,1.0327960500573494,1.0743319912045537,1.112278953735189,0.9151421317114131,0.24263274437772925,0.5,0.0015409049665688031,0.001310924831518817,0.0024801614615146002,-0.042927603471438924,0.053090159356097025,-0.0191536012615999,-1423.905416998581,residual_horizon_nmpc_gain_2,0.07126774205355418,0.15681761196430166,0.0435485732206037,31.928503618288524,0.0,0.0,97,0,False,False,alpha_corridor_violation,2.0,outputs/phase11_residual_mpc/moderate/scenario_007/gain_2/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_007/gain_2/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,8,63,1.0180238115686702,1.1476776606578871,0.8786749505372946,1.0021150448890466,0.07013268800964144,0.5,0.0011028593964723177,0.0004317192519537778,0.0012412082361867287,-0.020315401459835056,0.04644377946404173,-0.0004817541018459792,-1592.455564172357,residual_horizon_nmpc_gain_0,0.057154444911287794,0.09173403042211917,0.04148198132436053,47.30462081279585,0.0,0.09968847352024922,83,0,False,False,alpha_corridor_violation,0.0,outputs/phase11_residual_mpc/moderate/scenario_008/gain_0/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_008/gain_0/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,8,63,1.0180238115686702,1.1476776606578871,0.8786749505372946,1.0021150448890466,0.07013268800964144,0.5,0.0011028593964723177,0.0004317192519537778,0.0012412082361867287,-0.020315401459835056,0.04644377946404173,-0.0004817541018459792,-1592.455564172357,residual_horizon_nmpc_gain_0.5,0.06286188096170749,0.09115965386099403,0.040144969221806305,35.03984861998815,0.0,0.056074766355140186,82,0,False,False,alpha_corridor_violation,0.5,outputs/phase11_residual_mpc/moderate/scenario_008/gain_0.5/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_008/gain_0.5/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,8,63,1.0180238115686702,1.1476776606578871,0.8786749505372946,1.0021150448890466,0.07013268800964144,0.5,0.0011028593964723177,0.0004317192519537778,0.0012412082361867287,-0.020315401459835056,0.04644377946404173,-0.0004817541018459792,-1592.455564172357,residual_horizon_nmpc_gain_1,0.06756902128826676,0.09113703736761086,0.03938648590470697,41.40666786917508,0.0,0.07476635514018691,141,0,False,False,alpha_corridor_violation,1.0,outputs/phase11_residual_mpc/moderate/scenario_008/gain_1/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_008/gain_1/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,8,63,1.0180238115686702,1.1476776606578871,0.8786749505372946,1.0021150448890466,0.07013268800964144,0.5,0.0011028593964723177,0.0004317192519537778,0.0012412082361867287,-0.020315401459835056,0.04644377946404173,-0.0004817541018459792,-1592.455564172357,residual_horizon_nmpc_gain_2,0.08080392617202856,0.14880581789098193,0.03778312276815982,42.044098194618975,0.0,0.0529595015576324,205,0,False,False,alpha_corridor_violation,2.0,outputs/phase11_residual_mpc/moderate/scenario_008/gain_2/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_008/gain_2/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,9,64,1.1330480358221209,1.0070018887422227,0.8262843749716177,0.9274235112624596,0.30044609995951377,1.0,0.0029560957500721105,0.0009380721776113753,0.000451621436160318,-0.04898561862990772,0.04491250406958837,0.0022242335183021524,968.9782197362363,residual_horizon_nmpc_gain_0,0.041773222306808355,0.06693500040526665,0.04471611161205518,46.5845270496553,0.0,0.12149532710280374,0,0,False,False,success,0.0,outputs/phase11_residual_mpc/moderate/scenario_009/gain_0/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_009/gain_0/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,9,64,1.1330480358221209,1.0070018887422227,0.8262843749716177,0.9274235112624596,0.30044609995951377,1.0,0.0029560957500721105,0.0009380721776113753,0.000451621436160318,-0.04898561862990772,0.04491250406958837,0.0022242335183021524,968.9782197362363,residual_horizon_nmpc_gain_0.5,0.04879135625745122,0.0729972939595125,0.04329574429641955,37.51238316935526,0.0,0.07165109034267912,15,0,False,False,alpha_corridor_violation,0.5,outputs/phase11_residual_mpc/moderate/scenario_009/gain_0.5/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_009/gain_0.5/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,9,64,1.1330480358221209,1.0070018887422227,0.8262843749716177,0.9274235112624596,0.30044609995951377,1.0,0.0029560957500721105,0.0009380721776113753,0.000451621436160318,-0.04898561862990772,0.04491250406958837,0.0022242335183021524,968.9782197362363,residual_horizon_nmpc_gain_1,0.052235038286606895,0.0923586139915603,0.042764607960929124,39.7040312757716,0.0,0.0529595015576324,26,0,False,False,alpha_corridor_violation,1.0,outputs/phase11_residual_mpc/moderate/scenario_009/gain_1/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_009/gain_1/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,9,64,1.1330480358221209,1.0070018887422227,0.8262843749716177,0.9274235112624596,0.30044609995951377,1.0,0.0029560957500721105,0.0009380721776113753,0.000451621436160318,-0.04898561862990772,0.04491250406958837,0.0022242335183021524,968.9782197362363,residual_horizon_nmpc_gain_2,0.05498628899580339,0.11091814796341132,0.04228753860782755,32.472889966625,0.0,0.018691588785046728,28,0,False,False,alpha_corridor_violation,2.0,outputs/phase11_residual_mpc/moderate/scenario_009/gain_2/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_009/gain_2/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,10,65,0.8642174456390412,1.005466653261876,0.9499434253485177,0.8914714093255712,0.32960311763802463,0.5,0.0008365525317918986,6.46762207459785e-05,0.00043271742188083696,-0.04968044093642936,0.042852932412735696,-0.01897115270827847,2221.850917262168,residual_horizon_nmpc_gain_0,0.03545028138467337,0.060405984451225414,0.046021729913619754,50.07394785762336,0.0,0.04984423676012461,0,0,False,False,success,0.0,outputs/phase11_residual_mpc/moderate/scenario_010/gain_0/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_010/gain_0/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
