time_s,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,heating_proxy,alpha_ref_rad,theta_ref_rad,q_ref_radps,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,flap_min_rad,flap_max_rad,flap_rate_min_radps,flap_rate_max_radps,dynamic_pressure_limit_pa,heating_proxy_limit,dynamic_pressure_limit_exceeded,heating_proxy_limit_exceeded
103.0,54322.32080078125,3680.708193799991,12.474100762897656,0.00039275136527708077,2660.4217132752506,988218581.4498838,0.24581717223891814,-0.10451786132812503,-0.0022359936523437263,0.17581717223891813,0.31581717223891814,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
103.5,54154.949768066406,3667.243863297581,12.428469485831211,0.0004032551581473483,2711.6242967324347,990397047.88318,0.24488033257419237,-0.1056336682128906,-0.0022271386718749897,0.17488033257419236,0.31488033257419235,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
104.0,53988.25,3653.846125117388,12.383063893413926,0.0004139960412594146,2763.546015985101,992541914.5472383,0.2439368895567243,-0.10674500000000002,-0.00221809326171879,0.1739368895567243,0.3139368895567243,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
104.5,53822.235778808594,3640.5159565471645,12.337887297721966,0.0004249770684545654,2816.1862813757684,994652926.9468299,0.24298710732062362,-0.10785176147460938,-0.002208857421874988,0.1729871073206236,0.3129871073206236,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
105.0,53656.92138671875,3627.2543331867764,12.292943005111177,0.00043620122148777717,2869.5440644228734,996729846.7827041,0.24203125000000003,-0.10895385742187501,-0.002199431152343778,0.17203125000000002,0.31203125000000004,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
105.5,53492.32110595703,3614.062228961312,12.248234316261492,0.0004476714034882567,2923.6178852730286,998772452.1855209,0.2410695817289632,-0.11005119262695316,-0.002189814453124994,0.1710695817289632,0.3110695817289632,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
106.0,53328.44921875,3600.9406161340166,12.20376452622078,0.00045939043222376405,2978.40580022334,1000780537.9385912,0.24010236664162288,-0.111143671875,-0.0021800073242187468,0.17010236664162287,0.3101023666416229,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
106.5,53165.32000732422,3587.890465319055,12.159536924448094,0.0004713610331708903,3033.905389331636,1002753915.6890101,0.23912986887208867,-0.11223119995117191,-0.0021700097656249806,0.16912986887208867,0.3091298688720887,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
107.0,53002.94775390625,3574.912745494116,12.115554794856395,0.0004835858323940274,3090.113744133094,1004692414.1468203,0.23815235255447037,-0.11331368164062498,-0.0021598217773437234,0.16815235255447036,0.3081523525544704,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
107.5,52841.346740722656,3562.008424012848,12.071821415854684,0.0004960673492363188,3147.0274554820185,1006595879.2718154,0.23717008182287758,-0.11439102172851563,-0.0021494433593750306,0.16717008182287757,0.3071700818228776,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
108.0,52680.53125,3549.1784666171407,12.028340060389635,0.0005088079888264759,3204.6426015380202,1008464174.4476327,0.23618332081142,-0.11546312500000001,-0.0021388745117187358,0.16618332081141998,0.30618332081141997,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
108.5,52520.515563964844,3536.423837449245,11.98511399598667,0.000521810034405946,3262.954735916096,1010297180.6427668,0.2351923336542074,-0.11652989624023437,-0.0021281152343750054,0.16519233365420738,0.3051923336542074,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
109.0,52361.31396484375,3523.7454990637425,11.942146484790516,0.0005350756394815627,3321.958876020525,1012094796.558163,0.23419738448534938,-0.11759124023437502,-0.002117165527343756,0.16419738448534937,0.3041973844853494,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
109.5,52202.94073486328,3511.1444124393643,11.899440783605273,0.0005486068198094579,3381.649491582769,1013856938.76106,0.23319873743895572,-0.11864706176757812,-0.002106025390624988,0.16319873743895572,0.30319873743895576,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
110.0,52045.41015625,3498.6215369906577,11.857000143933941,0.0005624054452166939,3442.0204934237972,1015583541.8047388,0.23219665664913602,-0.11969726562500001,-0.0020946948242187846,0.16219665664913602,0.30219665664913603,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
110.5,51888.73651123047,3486.17783057951,11.81482781201748,0.0005764732312677876,3503.0652224616506,1017274558.3338916,0.23119140625,-0.12074175659179691,-0.002083173828124979,0.16119140625,0.30119140625,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
