controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,delta_flap_raw_rad,delta_flap_rad,delta_flap_rate_radps,flap_min_rad,flap_max_rad,flap_rate_min_radps,flap_rate_max_radps,flap_saturated,flap_rate_saturated,corridor_violation,alpha_error_rad,q_error_rad,theta_error_rad,pitching_moment_nm,cm,flap_effectiveness,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa
gain_scheduled_lqr,119.0,-0.017527817170602568,-0.003739776580589675,-0.009510675146705491,0.2138731451915853,-0.001858181152343763,-0.13753176757812502,0.14387314519158528,0.2838731451915853,-0.08,0.08,0.014601911106679633,0.014601911106679633,0.001518024252412209,-0.35,0.35,-0.18,0.18,False,False,True,-0.23140096236218785,-0.001881595428245912,0.12802109243141951,2407.389251850597,0.02029103636618841,0.8013493935505227,49370.23486328125,3287.6685540618005,11.14207012863934,0.0008575433094158964,4634.491849175011
gain_scheduled_lqr,119.5,-0.017461127049691914,-0.0036916530252568574,-0.01136853044701106,0.21285600875751315,-0.0018432324218750074,-0.13845714477539062,0.14285600875751314,0.28285600875751316,-0.08,0.08,0.01547426472745872,0.01547426472745872,0.0017447072415581744,-0.35,0.35,-0.18,0.18,False,False,True,-0.23031713580720506,-0.00184842060338185,0.12708861432837956,2416.8026070941273,0.02006162375323604,0.8033248241912663,49231.42828369141,3276.811980043634,11.105276666318533,0.0008765205134507221,4705.818083363572
gain_scheduled_lqr,120.0,-0.01737855385881046,-0.0036433477241287577,-0.013202277996822156,0.21184072126220888,-0.0018280932617187884,-0.13937500000000003,0.14184072126220887,0.2818407212622089,-0.08,0.08,0.01644779471814628,0.01644779471814628,0.001947059981375121,-0.35,0.35,-0.18,0.18,False,False,True,-0.22921927512101933,-0.0018152544624099693,0.12617272200317786,2422.087611344718,0.019803535054258477,0.8052858442230727,49093.75,3266.0524937718724,11.068812239136545,0.0008957582894604969,4777.571128534845
gain_scheduled_lqr,120.5,-0.017281685850083352,-0.0035949428018263725,-0.01501184749082064,0.21082754683978214,-0.001812763671874995,-0.1402852380371094,0.14082754683978213,0.28082754683978217,-0.08,0.08,0.01751076690614506,0.01751076690614506,0.002125944375997557,-0.35,0.35,-0.18,0.18,False,False,True,-0.2281092326898655,-0.0017821791299513774,0.12527339054628878,2423.441752717846,0.01951978158384958,0.807232204196456,48957.214294433594,3255.391024271041,11.032679995603099,0.0009152533750256505,4849.7311846904095
gain_scheduled_lqr,121.0,-0.017171983770477798,-0.0035465164583378984,-0.016797208702781313,0.20981674962434263,-0.0017972436523437385,-0.14118776367187502,0.13981674962434262,0.27981674962434266,-0.08,0.08,0.018651879962293783,0.018651879962293783,0.0022822261122974474,-0.35,0.35,-0.18,0.18,False,False,True,-0.22698873339482042,-0.00174927280599416,0.12439055496909371,2421.069218313558,0.019213262890793878,0.8091636544141589,48821.83544921875,3244.8284992253148,10.996883079685405,0.0009350021636006444,4922.277745217781
gain_scheduled_lqr,121.5,-0.017050792252593646,-0.0034981428329640624,-0.01855836948941104,0.20880859375,-0.001781533203124963,-0.14208248168945314,0.13880859375,0.27880859375,-0.08,0.08,0.019860269385263307,0.019860269385263307,0.0024167788459390493,-0.35,0.35,-0.18,0.18,False,False,True,-0.22585938600259364,-0.0017166096298390993,0.1235241122000421,2415.1804711974537,0.018886768025890822,0.8110799449509581,48687.62774658203,3234.365844987393,10.961424630838241,0.0009550006961800959,4995.189596590638
gain_scheduled_lqr,122.0,-0.016919349956583656,-0.003449891876964799,-0.020295373728316093,0.20780334335086403,-0.0017656323242187244,-0.14296929687499998,0.13780334335086403,0.27780334335086404,-0.08,0.08,0.021125513030525456,0.021125513030525456,0.002530487290524297,-0.35,0.35,-0.18,0.18,False,False,True,-0.22472269330744768,-0.0016842595527460746,0.12267392314668389,2405.9917020550047,0.018542976045306057,0.8129808256736674,48554.60546875,3224.003986587259,10.926307784033632,0.0009752446531953361,5068.444818776251
gain_scheduled_lqr,122.5,-0.016778798598013928,-0.0034018292373937274,-0.022008299195071686,0.20680126256104436,-0.0017495410156250224,-0.14384811401367187,0.13680126256104436,0.27680126256104437,-0.08,0.08,0.022437637674354027,0.022437637674354027,0.0026242492876571433,-0.35,0.35,-0.18,0.18,False,False,True,-0.2235800611590583,-0.001652288221768705,0.12183981481860018,2393.724166609503,0.018184455906151357,0.8148660462613366,48422.78289794922,3213.743847740855,10.89153566979025,0.000995729346667591,5142.02078636586
gain_scheduled_lqr,123.0,-0.01663019098355625,-0.0033540161543861116,-0.02369725538555561,0.20580261551465062,-0.001733259277343746,-0.144718837890625,0.13580261551465062,0.27580261551465063,-0.08,0.08,0.023787126142643777,0.023787126142643777,0.0026989769365795002,-0.35,0.35,-0.18,0.18,False,False,True,-0.22243280649820688,-0.0016207568770423655,0.12102158250506939,2378.603420722854,0.017813665899993038,0.8167353562256445,48292.17431640625,3203.5863508586476,10.857111414202452,0.001016449712644517,5215.894170442637
gain_scheduled_lqr,123.5,-0.016474498164722646,-0.0033065093739285648,-0.025362381290781194,0.20480766634579267,-0.0017167871093750064,-0.14558137329101561,0.13480766634579266,0.2748076663457927,-0.08,0.08,0.025164924573638392,0.025164924573638392,0.002755596861989229,-0.35,0.35,-0.18,0.18,False,False,True,-0.22128216451051533,-0.0015897222645535583,0.12021899200023442,2360.8584658422683,0.017432952759155358,0.8185885049314899,48162.79400634766,3193.5324170541107,10.82303813896902,0.0010374003039474394,5290.040941201506
