tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation,oracle_near_feasible,alpha_error_to_center_rad,alpha_margin_low_rad,alpha_margin_high_rad,dynamic_pressure_scaled,mach_scaled,actuator_tau_s
stress,2,10057,slack_oracle,15.0,0.2068530815754716,0.0465499991378768,0.7564959727188564,0.1379398148148148,-0.0008283374023437,0.073572998046875,0.0679398148148148,0.2079398148148148,-0.08,0.08,0.0689132667606568,0.0473783365402206,0.6829229746719814,0.3499999886688696,0.3499999943974595,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.06891326676065682,0.1389132667606568,0.0010867332393431905,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,16.0,0.2077835999490587,0.0465390482187835,0.8030404996020062,0.1401920438957476,-0.0008774682617187,0.07272,0.0701920438957476,0.2101920438957476,-0.08,0.08,0.0675915560533111,0.0474165164805022,0.7303204996020062,0.349999992709396,0.3499999927825912,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.0675915560533111,0.1375915560533111,0.002408443946688904,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,17.0,0.208520436294847,0.0465278918050829,0.8495739721891099,0.1425471536351166,-0.0009258374023437,0.071818251953125,0.0725471536351166,0.2125471536351166,-0.08,0.08,0.0659732826597304,0.0474537292074266,0.7777557202359849,0.3499999927610225,0.3499999908486223,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.0659732826597304,0.1359732826597304,0.0040267173402695755,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,18.0,0.2091016508358894,0.0465165230537899,0.8960961816816447,0.145,-0.0009734448242187,0.070868515625,0.0749999999999999,0.215,-0.08,0.08,0.0641016508358894,0.0474899678780086,0.8252276660566448,0.3499999914121559,0.3499999884979,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.06410165083588945,0.1341016508358895,0.005898349164110583,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,19.0,0.2095577808521685,0.0465049334906346,0.942606911599782,0.147545438957476,-0.0010202905273437,0.069871552734375,0.0775454389574759,0.217545438957476,-0.08,0.08,0.0620123418946925,0.0475252240179784,0.872735358865407,0.3499999893566539,0.349999985589876,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.06201234189469254,0.1320123418946926,0.007987658105307494,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,20.0,0.2099133249252301,0.0464931132168348,0.9891059362589072,0.1501783264746228,-0.0010663745117187,0.068828125,0.0801783264746227,0.2201783264746228,-0.08,0.08,0.0597349984506073,0.0475594877285536,0.9202778112589072,0.3499999866998455,0.3499999819161841,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.05973499845060734,0.1297349984506074,0.010265001549392694,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,21.0,0.2101879342406779,0.0464810510671337,1.0355930194276688,0.1528935185185185,-0.0011116967773437,0.067738994140625,0.0828935185185185,0.2228935185185185,-0.08,0.08,0.0572944157221594,0.0475927478444775,0.9678540252870438,0.3499999833258022,0.34999997715972,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.057294415722159375,0.12729441572215938,0.012705584277840604,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,22.0,0.2103973687587386,0.0464687347286472,1.082067913123766,0.1556858710562414,-0.0011562573242187,0.066604921875,0.0856858710562414,0.2256858710562414,-0.08,0.08,0.0547114977024972,0.047624992052866,1.015462991248766,0.3499999789767007,0.3499999708307827,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.0547114977024972,0.1247114977024972,0.01528850229750281,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,23.0,0.2105542643574502,0.0464561501896846,1.1285303561930116,0.1585502400548696,-0.0012000561523437,0.065426669921875,0.0885502400548696,0.2285502400548696,-0.08,0.08,0.0520040243025805,0.0476562063420283,1.0631036862711365,0.3499999732311685,0.3499999620551504,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.05200402430258061,0.1220040243025806,0.017995975697419397,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,24.0,0.210668743350914,0.046443271224933,1.1749800673549289,0.1614814814814814,-0.0012430932617187,0.064205,0.0914814814814814,0.2314814814814814,-0.08,0.08,0.0491872618694325,0.0476863644866518,1.1107750673549288,0.3499999653484263,0.3499999490158683,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.04918726186943262,0.11918726186943261,0.020812738130567388,0.0,0.0,0.7586107576985939
